,Period,High Temperature,Low Temperature,Humidity,Wind
0,Today,40°,30°,50%,WNW 11 mph
1,Mon 19,41°,30°,51%,WNW 14 mph
2,Tue 20,41°,25°,52%,NW 9 mph
3,Wed 21,42°,31°,57%,NNW 4 mph
4,Thu 22,50°,48°,79%,ENE 19 mph
5,Fri 23,52°,21°,76%,SSW 25 mph
6,Sat 24,28°,19°,46%,WSW 24 mph
7,Sun 25,29°,18°,44%,W 11 mph
8,Mon 26,31°,23°,43%,W 8 mph
9,Tue 27,35°,26°,48%,WNW 8 mph
10,Wed 28,38°,30°,59%,WNW 8 mph
11,Thu 29,43°,37°,65%,WSW 7 mph
12,Fri 30,48°,41°,76%,S 7 mph
13,Sat 31,49°,40°,75%,SSE 7 mph
14,Sun 01,50°,41°,73%,W 7 mph
